itemID,category,item,definition,choices,type,complexity_category,gloss,uni_lemma
item_272,games_routines,Lroutines3brushteeth,L Words for games and routines - 3 brush teeth,understands; produces,word,NA,brush teeth,brush teeth
item_273,games_routines,Lroutines4bye,L Words for games and routines - 4 bye/byebye/cheerio,understands; produces,word,NA,bye/byebye/cheerio,bye
item_274,games_routines,Lroutines5claphands,L Words for games and routines - 5 clap hands,understands; produces,word,NA,clap hands,
item_275,games_routines,Lroutines6dinner,L Words for games and routines - 6 dinner,understands; produces,word,NA,dinner,dinner
item_276,games_routines,Lroutines7dontdinnae,L Words for games and routines - 7 don’t/dinnae,understands; produces,word,NA,don’t/dinnae,don't
item_277,games_routines,Lroutines8goodnight,L Words for games and routines - 8 goodnight/night night,understands; produces,word,NA,goodnight/night night,good night
item_278,games_routines,Lroutines9hello,L Words for games and routines - 9 hello/hi/hiya,understands; produces,word,NA,hello/hi/hiya,hello
item_279,games_routines,Lroutines10hushshh,L Words for games and routines - 10 hush/shh,understands; produces,word,NA,hush/shh,shh
item_280,games_routines,Lroutines11lunch,L Words for games and routines - 11 lunch,understands; produces,word,NA,lunch,lunch
item_281,games_routines,Lroutines12music,L Words for games and routines - 12 music,understands; produces,word,NA,music,music
item_282,games_routines,Lroutines13nap,L Words for games and routines - 13 nap,understands; produces,word,NA,nap,nap
item_283,games_routines,Lroutines14no,L Words for games and routines - 14 no,understands; produces,word,NA,no,no
item_284,games_routines,Lroutines15oops,L Words for games and routines - 15 oops,understands; produces,word,NA,oops,
item_285,games_routines,Lroutines16peekaboo,L Words for games and routines - 16 peekaboo/peepo,understands; produces,word,NA,peekaboo/peepo,peekaboo
